# Tamanho_do_vetor Tempo_de_execucao
100 3.000000
200 9.000000
300 16.000000
400 71.000000
500 54.000000
600 84.000000
700 92.000000
800 141.000000
900 185.000000
1000 200.000000
1100 201.000000
1200 414.000000
1300 295.000000
1400 372.000000
1500 417.000000
1600 395.000000
1700 560.000000
1800 518.000000
1900 606.000000
2000 760.000000
2100 704.000000
2200 816.000000
2300 862.000000
2400 1104.000000
2500 1155.000000
2600 1152.000000
2700 1330.000000
2800 1326.000000
2900 1425.000000
3000 1447.000000
3100 1703.000000
3200 1788.000000
3300 2215.000000
3400 2112.000000
3500 2191.000000
3600 2145.000000
3700 2251.000000
3800 2479.000000
3900 2489.000000
4000 2888.000000
4100 3231.000000
4200 3117.000000
4300 2963.000000
4400 3236.000000
4500 3326.000000
4600 3891.000000
4700 3907.000000
4800 4327.000000
4900 4103.000000
5000 4611.000000
5100 4722.000000
5200 4848.000000
5300 4865.000000
5400 4891.000000
5500 5394.000000
5600 5458.000000
5700 6369.000000
5800 7081.000000
5900 8586.000000
6000 9535.000000
6100 9419.000000
6200 9339.000000
6300 9370.000000
6400 7698.000000
6500 10137.000000
6600 13442.000000
6700 9003.000000
6800 12609.000000
6900 13793.000000
7000 11147.000000
7100 12499.000000
7200 12092.000000
7300 11854.000000
7400 9517.000000
7500 10433.000000
7600 10131.000000
7700 11409.000000
7800 10989.000000
7900 11303.000000
8000 12405.000000
8100 11467.000000
8200 13042.000000
8300 14388.000000
8400 16241.000000
8500 14201.000000
8600 17264.000000
8700 17846.000000
8800 15969.000000
8900 16908.000000
9000 19615.000000
9100 17880.000000
9200 22667.000000
9300 17550.000000
9400 21154.000000
9500 15696.000000
9600 16709.000000
9700 16946.000000
9800 18577.000000
9900 28803.000000
10000 34253.000000
