# Tamanho_do_Vetor Tempo_de_Execucao
100 16
110 14
120 16
130 17
140 23
150 18
160 18
170 18
180 18
190 18
200 19
210 21
220 26
230 23
240 22
250 27
260 22
270 23
280 28
290 28
300 28
310 29
320 31
330 31
340 33
350 36
360 35
370 43
380 43
390 43
400 45
410 39
420 40
430 41
440 42
450 40
460 42
470 43
480 45
490 45
500 46
510 46
520 49
530 49
540 50
550 51
560 53
570 53
580 52
590 54
600 56
610 57
620 58
630 59
640 58
650 59
660 61
670 63
680 64
690 64
700 65
710 65
720 67
730 68
740 68
750 70
760 71
770 70
780 72
790 73
800 74
810 76
820 77
830 77
840 78
850 80
860 80
870 82
880 83
890 83
900 83
910 84
920 86
930 88
940 88
950 89
960 87
970 90
980 90
990 91
1000 93
1010 94
1020 93
1030 94
1040 97
1050 98
1060 100
1070 101
1080 101
1090 101
1100 103
1110 104
1120 105
1130 107
1140 108
1150 107
1160 108
1170 110
1180 112
1190 113
1200 114
1210 115
1220 113
1230 115
1240 117
1250 118
1260 119
1270 119
1280 118
1290 120
1300 122
1310 124
1320 126
1330 126
1340 127
1350 126
1360 128
1370 130
1380 131
1390 130
1400 132
1410 131
1420 132
1430 134
1440 136
1450 138
1460 138
1470 136
1480 138
1490 140
1500 141
1510 142
1520 144
1530 144
1540 144
1550 144
1560 146
1570 147
1580 148
1590 149
1600 150
1610 151
1620 152
1630 153
1640 153
1650 152
1660 156
1670 158
1680 159
1690 161
1700 161
1710 162
1720 164
1730 162
1740 164
1750 167
1760 168
1770 169
1780 169
1790 169
1800 170
1810 172
1820 173
1830 174
1840 175
1850 176
1860 176
1870 178
1880 179
1890 181
1900 182
1910 184
1920 181
1930 198
1940 184
1950 183
1960 185
1970 186
1980 186
1990 188
2000 189
2010 191
2020 190
2030 191
2040 192
2050 194
2060 196
2070 197
2080 199
2090 199
2100 202
2110 200
2120 202
2130 204
2140 206
2150 207
2160 209
2170 209
2180 208
2190 210
2200 216
2210 213
2220 215
2230 215
2240 214
2250 215
2260 216
2270 217
2280 218
2290 219
2300 221
2310 222
2320 223
2330 224
2340 225
2350 227
2360 228
2370 228
2380 231
2390 233
2400 234
2410 235
2420 237
2430 235
2440 236
2450 238
2460 239
2470 240
2480 241
2490 241
2500 241
2510 242
2520 245
2530 246
2540 246
2550 248
2560 246
2570 249
2580 250
2590 253
2600 253
2610 254
2620 255
2630 257
2640 257
2650 260
2660 260
2670 262
2680 262
2690 261
2700 264
2710 266
2720 267
2730 267
2740 269
2750 268
2760 268
2770 270
2780 271
2790 271
2800 272
2810 272
2820 274
2830 275
2840 276
2850 276
2860 277
2870 279
2880 279
2890 282
2900 281
2910 281
2920 282
2930 283
2940 284
2950 287
2960 288
2970 289
2980 290
2990 291
3000 292
3010 291
3020 293
3030 295
3040 295
3050 297
3060 297
3070 297
3080 299
3090 300
3100 302
3110 303
3120 304
3130 304
3140 305
3150 307
3160 308
3170 311
3180 310
3190 311
3200 311
3210 313
3220 315
3230 316
3240 317
3250 318
3260 319
3270 320
3280 322
3290 324
3300 327
3310 327
3320 325
3330 326
3340 326
3350 386
3360 332
3370 333
3380 336
3390 336
3400 333
3410 339
3420 336
3430 340
3440 339
3450 339
3460 340
3470 340
3480 342
3490 343
3500 344
3510 345
3520 345
3530 346
3540 348
3550 349
3560 349
3570 351
3580 354
3590 352
3600 355
3610 355
3620 361
3630 359
3640 358
3650 358
3660 360
3670 363
3680 364
3690 365
3700 366
3710 365
3720 366
3730 368
3740 369
3750 372
3760 374
3770 372
3780 371
3790 375
3800 375
3810 377
3820 377
3830 379
3840 377
3850 380
3860 381
3870 382
3880 384
3890 383
3900 383
3910 383
3920 385
3930 388
3940 389
3950 388
3960 389
3970 389
3980 391
3990 393
4000 393
4010 394
4020 397
4030 395
4040 397
4050 398
4060 399
4070 401
4080 401
4090 400
4100 401
4110 403
4120 405
4130 405
4140 407
4150 409
4160 408
4170 411
4180 413
4190 415
4200 415
4210 416
4220 416
4230 417
4240 420
4250 421
4260 422
4270 424
4280 425
4290 424
4300 427
4310 428
4320 429
4330 432
4340 431
4350 430
4360 433
4370 435
4380 436
4390 438
4400 438
4410 438
4420 440
4430 442
4440 444
4450 445
4460 445
4470 445
4480 444
4490 448
4500 449
4510 451
4520 451
4530 453
4540 454
4550 456
4560 458
4570 458
4580 460
4590 461
4600 461
4610 462
4620 464
4630 465
4640 468
4650 468
4660 469
4670 467
4680 467
4690 468
4700 469
4710 474
4720 472
4730 471
4740 473
4750 476
4760 482
4770 481
4780 481
4790 480
4800 480
4810 481
4820 482
4830 482
4840 482
4850 484
4860 485
4870 485
4880 487
4890 520
4900 490
4910 489
4920 491
4930 490
4940 491
4950 493
4960 493
4970 495
4980 496
4990 494
5000 497
5010 500
5020 502
5030 508
5040 510
5050 504
5060 503
5070 506
5080 506
5090 509
5100 509
5110 509
5120 508
5130 514
5140 514
5150 515
5160 518
5170 519
5180 520
5190 523
5200 523
5210 525
5220 526
5230 527
5240 528
5250 528
5260 529
5270 529
5280 530
5290 531
5300 532
5310 535
5320 536
5330 539
5340 541
5350 543
5360 541
5370 542
5380 542
5390 541
5400 544
5410 547
5420 547
5430 547
5440 548
5450 550
5460 552
5470 553
5480 554
5490 553
5500 555
5510 556
5520 557
5530 559
5540 560
5550 567
