# Tamanho_do_vetor Pior_tempo_de_execucao
100 0.000035
200 2.000214
300 2.000233
400 2.000244
500 4.000412
600 5.000503
700 5.000542
800 7.000704
900 7.000753
1000 9.000901
1100 9.000982
1200 12.001212
1300 14.001436
1400 17.001788
1500 21.002100
1600 59.005912
1700 81.008167
1800 444.044462
1900 39.003921
2000 31.003148
2100 44.004431
2200 45.004506
2300 39.003927
2400 61.006102
2500 62.006261
2600 59.005900
2700 59.005995
2800 217.021716
2900 74.007497
3000 113.011302
3100 154.015417
3200 141.014114
3300 100.010065
3400 128.012827
3500 99.009980
3600 155.015512
3700 166.016614
3800 158.015874
3900 143.014317
4000 264.026488
4100 321.032145
4200 282.028291
4300 188.018843
4400 327.032740
4500 333.033389
4600 247.024713
4700 166.016686
4800 172.017249
4900 189.018926
5000 174.017433
5100 179.017983
5200 188.018887
5300 192.019236
5400 227.022769
5500 207.020785
5600 251.025128
5700 271.027184
5800 282.028242
5900 311.031198
6000 476.047637
6100 261.026129
6200 256.025659
6300 270.027095
6400 271.027183
6500 331.033159
6600 365.036536
6700 455.045545
6800 415.041513
6900 382.038201
7000 333.033347
7100 335.033542
7200 365.036567
7300 354.035496
7400 413.041380
7500 498.049800
7600 413.041311
7700 387.038727
7800 534.053443
7900 490.049068
8000 471.047115
8100 490.049087
8200 467.046776
8300 409.040958
8400 485.048549
8500 543.054396
8600 803.080317
8700 685.068559
8800 637.063728
8900 596.059600
9000 545.054530
9100 624.062415
9200 542.054209
9300 613.061384
9400 582.058222
9500 583.058312
9600 606.060689
9700 897.089742
9800 952.095205
9900 711.071170
10000 826.082609
