# TamanhoVetor TempoMedio
100 0.000010
200 0.000030
300 0.000060
400 0.000090
500 0.000140
600 0.000190
700 0.000260
800 0.000340
900 0.000430
1000 0.000540
1100 0.000640
1200 0.000750
1300 0.000890
1400 0.001000
1500 0.001130
1600 0.001300
1700 0.001470
1800 0.001660
1900 0.001840
2000 0.002020
2100 0.002250
2200 0.002460
2300 0.002660
2400 0.002890
2500 0.003150
2600 0.003410
2700 0.003660
2800 0.003920
2900 0.004220
3000 0.004500
3100 0.004780
3200 0.005130
3300 0.005430
3400 0.005770
3500 0.006100
3600 0.006450
3700 0.006800
3800 0.007130
3900 0.007530
4000 0.007930
4100 0.008320
4200 0.008750
4300 0.009170
4400 0.009610
4500 0.010030
4600 0.010500
4700 0.010930
4800 0.011390
4900 0.011850
5000 0.012330
5100 0.012820
5200 0.013370
5300 0.013840
5400 0.014370
5500 0.014920
5600 0.015450
5700 0.016030
5800 0.016570
5900 0.017150
6000 0.017720
6100 0.018330
6200 0.018950
6300 0.019520
6400 0.020170
6500 0.020760
6600 0.021410
6700 0.022080
6800 0.022750
6900 0.023400
7000 0.024050
7100 0.024790
7200 0.025470
7300 0.026180
7400 0.026890
7500 0.027650
7600 0.028390
7700 0.029090
7800 0.029850
7900 0.030580
8000 0.031510
8100 0.032260
8200 0.033190
8300 0.033920
8400 0.034930
8500 0.035650
8600 0.036330
8700 0.037260
8800 0.038120
8900 0.039060
9000 0.039700
9100 0.040580
9200 0.041430
9300 0.042350
9400 0.043260
9500 0.044240
9600 0.045170
9700 0.046060
9800 0.047010
9900 0.048000
10000 0.049010
