# Tamanho_do_Vetor Tempo_Total_de_Execucao
100 0.046
200 0.045
300 0.049
400 0.048
500 0.046
600 0.047
700 0.047
800 0.051
900 0.052
1000 0.051
1100 0.051
1200 0.052
1300 0.059
1400 0.054
1500 0.055
1600 0.058
1700 0.058
1800 0.057
1900 0.057
2000 0.057
2100 0.057
2200 0.057
2300 0.059
2400 0.059
2500 0.060
2600 0.061
2700 0.060
2800 0.060
2900 0.061
3000 0.065
3100 0.061
3200 0.062
3300 0.062
3400 0.060
3500 0.072
3600 0.068
3700 0.061
3800 0.063
3900 0.063
4000 0.067
4100 0.061
4200 0.063
4300 0.062
4400 0.064
4500 0.064
4600 0.063
4700 0.065
4800 0.071
4900 0.063
5000 0.065
5100 0.065
5200 0.064
5300 0.065
5400 0.065
5500 0.063
5600 0.065
5700 0.063
5800 0.066
5900 0.066
6000 0.064
6100 0.066
6200 0.066
6300 0.066
6400 0.066
6500 0.064
6600 0.067
6700 0.065
6800 0.073
6900 0.066
7000 0.066
7100 0.066
7200 0.067
7300 0.077
7400 0.066
7500 0.067
7600 0.066
7700 0.066
7800 0.067
7900 0.066
8000 0.066
8100 0.066
8200 0.067
8300 0.067
8400 0.067
8500 0.067
8600 0.066
8700 0.066
8800 0.067
8900 0.067
9000 0.066
9100 0.067
9200 0.067
9300 0.068
9400 0.066
9500 0.066
9600 0.067
9700 0.067
9800 0.067
9900 0.068
10000 0.068
