# Tamanho_do_Vetor Tempo_Total_de_Execucao
100 0.023
200 0.014
300 0.014
400 0.014
500 0.014
600 0.014
700 0.014
800 0.014
900 0.014
1000 0.013
1100 0.014
1200 0.014
1300 0.015
1400 0.015
1500 0.014
1600 0.014
1700 0.015
1800 0.016
1900 0.013
2000 0.015
2100 0.014
2200 0.015
2300 0.014
2400 0.015
2500 0.015
2600 0.014
2700 0.013
2800 0.014
2900 0.014
3000 0.014
3100 0.014
3200 0.014
3300 0.014
3400 0.013
3500 0.014
3600 0.015
3700 0.014
3800 0.015
3900 0.014
4000 0.017
4100 0.014
4200 0.014
4300 0.014
4400 0.014
4500 0.013
4600 0.015
4700 0.014
4800 0.014
4900 0.014
5000 0.014
5100 0.014
5200 0.015
5300 0.014
5400 0.014
5500 0.014
5600 0.014
5700 0.015
5800 0.014
5900 0.014
6000 0.014
6100 0.014
6200 0.015
6300 0.014
6400 0.014
6500 0.014
6600 0.014
6700 0.014
6800 0.014
6900 0.014
7000 0.015
7100 0.014
7200 0.015
7300 0.016
7400 0.014
7500 0.014
7600 0.014
7700 0.014
7800 0.015
7900 0.014
8000 0.014
8100 0.014
8200 0.014
8300 0.013
8400 0.014
8500 0.014
8600 0.014
8700 0.014
8800 0.015
8900 0.014
9000 0.014
9100 0.014
9200 0.014
9300 0.014
9400 0.014
9500 0.015
9600 0.014
9700 0.014
9800 0.014
9900 0.014
10000 0.014
