# Tamanho_do_Vetor Tempo_Total_de_Execucao
100 0.042
200 0.031
300 0.042
400 0.033
500 0.046
600 0.037
700 0.037
800 0.044
900 0.039
1000 0.039
1100 0.041
1200 0.040
1300 0.046
1400 0.039
1500 0.043
1600 0.043
1700 0.041
1800 0.040
1900 0.052
2000 0.040
2100 0.051
2200 0.047
2300 0.042
2400 0.049
2500 0.047
2600 0.043
2700 0.043
2800 0.042
2900 0.054
3000 0.043
3100 0.058
3200 0.046
3300 0.051
3400 0.043
3500 0.046
3600 0.048
3700 0.053
3800 0.051
3900 0.056
4000 0.052
4100 0.052
4200 0.054
4300 0.057
4400 0.050
4500 0.053
4600 0.050
4700 0.058
4800 0.053
4900 0.048
5000 0.047
5100 0.047
5200 0.051
5300 0.053
5400 0.050
5500 0.049
5600 0.054
5700 0.051
5800 0.054
5900 0.056
6000 0.047
6100 0.050
6200 0.051
6300 0.052
6400 0.046
6500 0.055
6600 0.047
6700 0.049
6800 0.052
6900 0.057
7000 0.052
7100 0.050
7200 0.054
7300 0.051
7400 0.051
7500 0.058
7600 0.051
7700 0.054
7800 0.049
7900 0.058
8000 0.055
8100 0.053
8200 0.051
8300 0.056
8400 0.051
8500 0.046
8600 0.051
8700 0.053
8800 0.050
8900 0.050
9000 0.051
9100 0.051
9200 0.056
9300 0.060
9400 0.059
9500 0.072
9600 0.055
9700 0.061
9800 0.049
9900 0.057
10000 0.058
