# Tamanho_do_Vetor Tempo_Total_de_Execucao
100 4
200 6
300 6
400 6
500 6
600 7
700 7
800 7
900 7
1000 7
1100 7
1200 7
1300 8
1400 8
1500 9
1600 8
1700 8
1800 8
1900 9
2000 9
2100 9
2200 9
2300 9
2400 9
2500 9
2600 9
2700 9
2800 9
2900 10
3000 10
3100 10
3200 9
3300 9
3400 10
3500 9
3600 9
3700 10
3800 10
3900 11
4000 10
4100 10
4200 10
4300 10
4400 11
4500 10
4600 10
4700 11
4800 10
4900 10
5000 10
5100 11
5200 11
5300 11
5400 11
5500 10
5600 11
5700 11
5800 11
5900 11
6000 11
6100 11
6200 11
6300 11
6400 11
6500 11
6600 11
6700 12
6800 11
6900 11
7000 11
7100 11
7200 11
7300 11
7400 11
7500 11
7600 11
7700 11
7800 11
7900 11
8000 12
8100 11
8200 12
8300 12
8400 11
8500 12
8600 12
8700 11
8800 12
8900 12
9000 12
9100 12
9200 12
9300 12
9400 12
9500 12
9600 12
9700 12
9800 12
9900 12
10000 12
