# Tamanho_do_Vetor Tempo_de_Execucao
100 0
200 0
300 1
400 1
500 1
600 2
700 2
800 3
900 3
1000 3
1100 4
1200 4
1300 5
1400 5
1500 5
1600 6
1700 6
1800 6
1900 7
2000 7
2100 8
2200 8
2300 9
2400 9
2500 10
2600 9
2700 10
2800 12
2900 12
3000 12
3100 12
3200 12
3300 13
3400 13
3500 13
3600 14
3700 14
3800 14
3900 15
4000 16
4100 16
4200 16
4300 16
4400 17
4500 17
4600 18
4700 18
4800 19
4900 19
5000 20
5100 20
5200 21
5300 21
5400 21
5500 22
5600 22
5700 22
5800 23
5900 23
6000 23
6100 24
6200 24
6300 24
6400 25
6500 26
6600 26
6700 26
6800 27
6900 27
7000 28
7100 28
7200 28
7300 29
7400 29
7500 30
7600 30
7700 30
7800 31
7900 31
8000 31
8100 32
8200 32
8300 33
8400 33
8500 34
8600 34
8700 35
8800 35
8900 36
9000 36
9100 36
9200 37
9300 37
9400 38
9500 39
9600 39
9700 39
9800 39
9900 40
10000 40
