# Tamanho_da_Tabela Tempo_de_Execucao
100 0.038
200 0.030
300 0.027
400 0.025
500 0.024
600 0.023
700 0.022
800 0.024
900 0.021
1000 0.021
1100 0.022
1200 0.021
1300 0.021
1400 0.023
1500 0.023
1600 0.026
1700 0.023
1800 0.022
1900 0.022
2000 0.023
2100 0.022
2200 0.021
2300 0.022
2400 0.026
2500 0.022
2600 0.021
2700 0.023
2800 0.022
2900 0.022
3000 0.024
3100 0.022
3200 0.023
3300 0.026
3400 0.025
3500 0.025
3600 0.021
3700 0.024
3800 0.022
3900 0.022
4000 0.023
4100 0.024
4200 0.023
4300 0.026
4400 0.023
4500 0.024
4600 0.025
4700 0.026
4800 0.024
4900 0.022
5000 0.022
5100 0.022
5200 0.022
5300 0.022
5400 0.023
5500 0.023
5600 0.028
5700 0.026
5800 0.026
5900 0.023
6000 0.022
6100 0.025
6200 0.021
6300 0.025
6400 0.025
6500 0.022
6600 0.023
6700 0.027
6800 0.028
6900 0.027
7000 0.027
7100 0.029
7200 0.027
7300 0.027
7400 0.027
7500 0.027
7600 0.027
7700 0.026
7800 0.027
7900 0.026
8000 0.027
8100 0.026
8200 0.022
8300 0.022
8400 0.025
8500 0.023
8600 0.022
8700 0.021
8800 0.023
8900 0.022
9000 0.021
9100 0.021
9200 0.023
9300 0.022
9400 0.022
9500 0.026
9600 0.027
9700 0.021
9800 0.022
9900 0.021
10000 0.022
