# Tamanho_da_Tabela Tempo_de_Execucao
100 0.098
200 0.042
300 0.037
400 0.025
500 0.050
600 0.027
700 0.026
800 0.043
900 0.061
1000 0.039
1100 0.042
1200 0.039
1300 0.027
1400 0.027
1500 0.035
1600 0.037
1700 0.027
1800 0.031
1900 0.073
2000 0.035
2100 0.027
2200 0.025
2300 0.025
2400 0.024
2500 0.027
2600 0.027
2700 0.024
2800 0.024
2900 0.025
3000 0.025
3100 0.064
3200 0.027
3300 0.027
3400 0.025
3500 0.024
3600 0.024
3700 0.028
3800 0.027
3900 0.024
4000 0.024
4100 0.040
4200 0.027
4300 0.030
4400 0.025
4500 0.026
4600 0.030
4700 0.024
4800 0.029
4900 0.023
5000 0.023
5100 0.049
5200 0.040
5300 0.030
5400 0.054
5500 0.025
5600 0.028
5700 0.027
5800 0.027
5900 0.026
6000 0.025
6100 0.024
6200 0.043
6300 0.053
6400 0.025
6500 0.027
6600 0.026
6700 0.029
6800 0.027
6900 0.025
7000 0.026
7100 0.023
7200 0.024
7300 0.027
7400 0.028
7500 0.048
7600 0.029
7700 0.028
7800 0.028
7900 0.024
8000 0.024
8100 0.024
8200 0.050
8300 0.023
8400 0.027
8500 0.028
8600 0.027
8700 0.025
8800 0.031
8900 0.028
9000 0.024
9100 0.028
9200 0.025
9300 0.029
9400 0.024
9500 0.027
9600 0.024
9700 0.036
9800 0.024
9900 0.023
10000 0.041
